Fecha;Nombre Stocks;Tonelaje [Ton];Leyes de Elementos;;;;;pH Natural ;Arcillas;;;;;Sulfuros de Cobre;;;;;Pirita [%]
;;;CuT [%];CuS [%];As [ppm];Mo [ppm];FeT [%];;Pirofilita    [%];Caolinita [%];Illita          [%];Muscovita [%];Suma de Arcillas [%];Bornita   [%];Calcocina [%];Calcopirita [%];Covelina [%];Enargita [%];
13-01-2024;RS1-STOCKCR04/SAL; 6.226 ; 1,26 ; 0,067 ; 132 ; 351 ; 2,23 ; 6,9 ; 0,6 ; 0,8 ; 9,6 ; 13,9 ; 11,0 ; 0,8 ; 0,2 ; 1,8 ; 0,0 ; 0,1 ; 2,4 
13-01-2024;RS2-STOCKCR04/SAL; 3.032 ; 2,30 ; 0,140 ; 425 ; 120 ; 6,45 ; 6,8 ; 1,0 ; 0,4 ; 9,2 ; 12,1 ; 10,6 ; 1,2 ; 1,2 ; 1,2 ; 0,0 ; 0,1 ; 6,8 
14-01-2024;RS1-PARINA/SME; 32.208 ; 0,80 ; 0,037 ; 93 ; 272 ; 3,34 ; 7,3 ; 0,1 ; 0,5 ; 7,1 ; 8,8 ; 7,7 ; 0,1 ; 0,1 ; 2,0 ; 0,0 ; 0,0 ; 2,4 
14-01-2024;RS1-STOCKCR04/SAL; 10.220 ; 1,88 ; 0,050 ; 144 ; 354 ; 2,05 ; 6,9 ; 0,6 ; 0,8 ; 9,6 ; 13,9 ; 11,0 ; 0,8 ; 0,2 ; 1,8 ; 0,0 ; 0,1 ; 2,4 
14-01-2024;RS2-STOCKCR04/SAL; 2.998 ; 2,07 ; 0,111 ; 361 ; 125 ; 5,75 ; 6,8 ; 1,0 ; 0,4 ; 9,2 ; 12,1 ; 10,6 ; 1,2 ; 1,2 ; 1,2 ; 0,0 ; 0,1 ; 6,8 
15-01-2024;RS1-PARINA/SME; 7.019 ; 0,80 ; 0,037 ; 93 ; 272 ; 3,34 ; 7,3 ; 0,1 ; 0,5 ; 7,1 ; 8,8 ; 7,7 ; 0,1 ; 0,1 ; 2,0 ; 0,0 ; 0,0 ; 2,4 
15-01-2024;RS1-STOCKCR04/SAL; 28.775 ; 1,15 ; 0,071 ; 14 ; 358 ; 4,19 ; 6,9 ; 0,6 ; 0,8 ; 9,6 ; 13,9 ; 11,0 ; 0,8 ; 0,2 ; 1,8 ; 0,0 ; 0,1 ; 2,4 
15-01-2024;RS2-STOCKCR04/SAL; 5.821 ; 1,44 ; 0,100 ; 405 ; 98 ; 6,51 ; 6,8 ; 1,0 ; 0,4 ; 9,2 ; 12,1 ; 10,6 ; 1,2 ; 1,2 ; 1,2 ; 0,0 ; 0,1 ; 6,8 
16-01-2024;RS1-GAVIOTA/SAL; 4.687 ; 1,90 ; 0,140 ; 2.243 ; 173 ; 6,10 ; 6,8 ; 3,2 ; 2,4 ; 11,3 ; 14,9 ; 16,9 ; 0,5 ; 0,8 ; 1,0 ; 0,0 ; 0,3 ; 9,2 
16-01-2024;RS1-PARINA/SME; 19.052 ; 0,80 ; 0,037 ; 93 ; 272 ; 3,34 ; 7,3 ; 0,1 ; 0,5 ; 7,1 ; 8,8 ; 7,7 ; 0,1 ; 0,1 ; 2,0 ; 0,0 ; 0,0 ; 2,4 
16-01-2024;RS1-STOCKCR04/SAL; 17.527 ; 1,15 ; 0,080 ; 30 ; 195 ; 3,69 ; 6,9 ; 0,6 ; 0,8 ; 9,6 ; 13,9 ; 11,0 ; 0,8 ; 0,2 ; 1,8 ; 0,0 ; 0,1 ; 2,4 
17-01-2024;RS1-GAVIOTA/SAL; 9.410 ; 1,90 ; 0,140 ; 2.243 ; 173 ; 6,10 ; 6,8 ; 3,2 ; 2,4 ; 11,3 ; 14,9 ; 16,9 ; 0,5 ; 0,8 ; 1,0 ; 0,0 ; 0,3 ; 9,2 
17-01-2024;RS1-PARINA/SME; 34.616 ; 0,80 ; 0,037 ; 93 ; 272 ; 3,34 ; 7,3 ; 0,1 ; 0,5 ; 7,1 ; 8,8 ; 7,7 ; 0,1 ; 0,1 ; 2,0 ; 0,0 ; 0,0 ; 2,4 
17-01-2024;RS1-STOCKCR04/SAL; 18.758 ; 1,25 ; 0,075 ; 71 ; 365 ; 2,83 ; 6,9 ; 0,6 ; 0,8 ; 9,6 ; 13,9 ; 11,0 ; 0,8 ; 0,2 ; 1,8 ; 0,0 ; 0,1 ; 2,4 
18-01-2024;RS1-GAVIOTA/SAL; 11.304 ; 1,90 ; 0,140 ; 2.155 ; 177 ; 5,94 ; 6,8 ; 3,2 ; 2,4 ; 11,3 ; 14,9 ; 16,9 ; 0,5 ; 0,8 ; 1,0 ; 0,0 ; 0,3 ; 9,2 
18-01-2024;RS1-PARINA/SME; 44.018 ; 0,80 ; 0,037 ; 93 ; 272 ; 3,34 ; 7,3 ; 0,1 ; 0,5 ; 7,1 ; 8,8 ; 7,7 ; 0,1 ; 0,1 ; 2,0 ; 0,0 ; 0,0 ; 2,4 
18-01-2024;RS1-STOCKCR04/SAL; 21.023 ; 1,25 ; 0,061 ; 100 ; 324 ; 6,70 ; 6,9 ; 0,6 ; 0,8 ; 9,6 ; 13,9 ; 11,0 ; 0,8 ; 0,2 ; 1,8 ; 0,0 ; 0,1 ; 2,4 
19-01-2024;RS1-GAVIOTA/SAL; 16.266 ; 1,90 ; 0,140 ; 2.155 ; 177 ; 5,94 ; 6,8 ; 3,2 ; 2,4 ; 11,3 ; 14,9 ; 16,9 ; 0,5 ; 0,8 ; 1,0 ; 0,0 ; 0,3 ; 9,2 
19-01-2024;RS1-PARINA/SME; 11.666 ; 0,80 ; 0,037 ; 93 ; 272 ; 3,34 ; 7,3 ; 0,1 ; 0,5 ; 7,1 ; 8,8 ; 7,7 ; 0,1 ; 0,1 ; 2,0 ; 0,0 ; 0,0 ; 2,4 
19-01-2024;RS1-STOCKCR04/SAL; 4.185 ; 1,25 ; 0,061 ; 100 ; 324 ; 6,70 ; 6,9 ; 0,6 ; 0,8 ; 9,6 ; 13,9 ; 11,0 ; 0,8 ; 0,2 ; 1,8 ; 0,0 ; 0,1 ; 2,4 
19-01-2024;RS2-STOCKCR04/SAL; 10.760 ; 1,44 ; 0,100 ; 405 ; 98 ; 6,51 ; 6,8 ; 1,0 ; 0,4 ; 9,2 ; 12,1 ; 10,6 ; 1,2 ; 1,2 ; 1,2 ; 0,0 ; 0,1 ; 6,8 
20-01-2024;RS1-ALTALEY/SAL; 10.852 ; 1,59 ; 0,080 ; 89 ; 410 ; 3,10 ; 6,8 ; 0,8 ; 1,2 ; 12,2 ; 15,0 ; 14,2 ; 0,7 ; 0,2 ; 1,4 ; 0,0 ; 0,0 ; 8,3 
20-01-2024;RS1-GAVIOTA/SAL; 9.077 ; 1,90 ; 0,140 ; 2.155 ; 177 ; 5,94 ; 6,8 ; 3,2 ; 2,4 ; 11,3 ; 14,9 ; 16,9 ; 0,5 ; 0,8 ; 1,0 ; 0,0 ; 0,3 ; 9,2 
20-01-2024;RS1-STOCKCR04/SAL; 19.584 ; 1,25 ; 0,061 ; 100 ; 324 ; 6,70 ; 6,9 ; 0,6 ; 0,8 ; 9,6 ; 13,9 ; 11,0 ; 0,8 ; 0,2 ; 1,8 ; 0,0 ; 0,1 ; 2,4 
20-01-2024;RS2-STOCKCR04/SAL; 3.627 ; 1,44 ; 0,100 ; 405 ; 98 ; 6,51 ; 6,8 ; 1,0 ; 0,4 ; 9,2 ; 12,1 ; 10,6 ; 1,2 ; 1,2 ; 1,2 ; 0,0 ; 0,1 ; 6,8 
21-01-2024;RS1-ALTALEY/SAL; 5.784 ; 1,30 ; 0,120 ; 78 ; 325 ; 4,19 ; 6,8 ; 0,8 ; 1,2 ; 12,2 ; 15,0 ; 14,2 ; 0,7 ; 0,2 ; 1,4 ; 0,0 ; 0,0 ; 8,3 
21-01-2024;RS1-GAVIOTA/SAL; 10.834 ; 1,69 ; 0,149 ; 1.776 ; 134 ; 6,56 ; 6,8 ; 3,2 ; 2,4 ; 11,3 ; 14,9 ; 16,9 ; 0,5 ; 0,8 ; 1,0 ; 0,0 ; 0,3 ; 9,2 
21-01-2024;RS1-STOCKCR04/SAL; 10.563 ; 1,26 ; 0,069 ; 70 ; 331 ; 0,92 ; 6,9 ; 0,6 ; 0,8 ; 9,6 ; 13,9 ; 11,0 ; 0,8 ; 0,2 ; 1,8 ; 0,0 ; 0,1 ; 2,4 
22-01-2024;RS1-ALTALEY/SAL; 299 ; 1,30 ; 0,080 ; 89 ; 410 ; 3,10 ; 6,8 ; 0,8 ; 1,2 ; 12,2 ; 15,0 ; 14,2 ; 0,7 ; 0,2 ; 1,4 ; 0,0 ; 0,0 ; 8,3 
22-01-2024;RS1-GAVIOTA/SAL; 6.495 ; 1,60 ; 0,140 ; 1.770 ; 136 ; 6,48 ; 6,8 ; 3,2 ; 2,4 ; 11,3 ; 14,9 ; 16,9 ; 0,5 ; 0,8 ; 1,0 ; 0,0 ; 0,3 ; 9,2 
